"Date","Temp","Q","P","E"
"8/17/2005",21.8,0.735,0,3.9
"8/18/2005",22,0.63,0,3.9
"8/19/2005",20.4,0.63,0,3.7
"8/20/2005",20.5,0.63,0,3.7
"8/21/2005",22.7,0.53,0,3.9
"8/22/2005",21.4,0.53,3.5,3.7
"8/23/2005",16.3,0.53,2.6,3
"8/24/2005",10.8,0.44,6.6,2.2
"8/25/2005",11.9,0.53,0,2.3
"8/26/2005",14.5,0.735,2.1,2.7
"8/27/2005",14.3,0.735,7,2.6
"8/28/2005",10.5,0.795,0,2.1
"8/29/2005",12,0.735,0,2.3
"8/30/2005",12.8,0.735,0,2.4
"8/31/2005",13,0.63,0,2.4
"9/1/2005",12.6,0.63,0,2.3
"9/2/2005",13.2,0.53,0,2.4
"9/3/2005",13.8,0.53,0.8,2.4
"9/4/2005",11.4,0.44,0.4,2.1
"9/5/2005",9.7,0.358,0,1.9
"9/6/2005",12.2,0.358,0,2.1
"9/7/2005",15.4,0.25,8,2.5
"9/8/2005",16.4,0.358,8.9,2.6
"9/9/2005",15.7,0.53,2.9,2.5
"9/10/2005",13.6,0.735,1.2,2.2
"9/11/2005",13.3,0.795,5.9,2.2
"9/12/2005",13.9,0.735,21.3,2.2
"9/13/2005",12.2,0.63,0.7,2
"9/14/2005",11.6,1.91,3.9,1.9
"9/15/2005",13.3,1.32,0.3,2.1
"9/16/2005",12.3,1.25,2.8,2
"9/17/2005",12.8,0.91,0.1,2
"9/18/2005",14.2,0.85,0.2,2.1
"9/19/2005",16.7,0.91,0,2.4
"9/20/2005",19.2,0.975,0,2.6
"9/21/2005",17,0.63,0.5,2.4
"9/22/2005",12.6,0.85,37.4,1.9
"9/23/2005",11.4,1.96,25.6,1.7
"9/24/2005",10.9,3.44,32.8,1.7
"9/25/2005",8.1,8.5,13.3,1.4
"9/26/2005",7.8,19.9,2.6,1.3
"9/27/2005",7.6,16.8,5.9,1.3
"9/28/2005",7.6,12,1,1.3
"9/29/2005",8.9,11.8,1.3,1.4
"9/30/2005",9.4,8.7,4.3,1.4
"10/1/2005",11.4,7.75,6.3,1.6
"10/2/2005",9.3,7.2,3.3,1.4
"10/3/2005",8.9,7,3.4,1.3
"10/4/2005",12,5.6,2.5,1.6
"10/5/2005",13.9,5.65,22.7,1.7
"10/6/2005",10.1,18.3,1.3,1.4
"10/7/2005",10.1,9.9,6.7,1.4
"10/8/2005",9.2,15.3,3.8,1.3
"10/9/2005",8.5,10.8,0,1.2
"10/10/2005",13.7,8.35,0.4,1.6
"10/11/2005",17.4,7.95,20.6,1.9
"10/12/2005",12.3,11.6,4.6,1.5
"10/13/2005",12.6,15.2,14.9,1.5
"10/14/2005",10.8,17.3,1.2,1.3
"10/15/2005",8.3,16.3,6.6,1.1
"10/16/2005",7.5,12.3,4.5,1
"10/17/2005",9.4,13,2.4,1.1
"10/18/2005",9,11.2,0.5,1.1
"10/19/2005",9.2,13.2,0,1.1
"10/20/2005",8.1,8.35,1,1
"10/21/2005",3.4,8.5,10.1,0.6
"10/22/2005",3.2,9.5,5.7,0.6
"10/23/2005",3.1,9.7,4.4,0.6
"10/24/2005",3.2,9.1,5.6,0.6
"10/25/2005",3.5,16.5,0,0.6
"10/26/2005",3.3,9.5,0,0.6
"10/27/2005",3.6,12.4,0,0.6
"10/28/2005",5.6,8.95,0,0.7
"10/29/2005",8.2,11.7,0,0.9
"10/30/2005",6.8,5.6,0,0.8
"10/31/2005",6,4.59,0.1,0.7
"11/1/2005",8.5,4.58,0.9,0.9
"11/2/2005",11.7,4.58,0.5,1
"11/3/2005",12.5,6.65,0.1,1.1
"11/4/2005",11,4.55,0,1
"11/5/2005",8.6,5.7,0,0.8
"11/6/2005",5,4.5,0.5,0.6
"11/7/2005",3.9,2.66,2.2,0.5
"11/8/2005",4.7,3.7,4.6,0.6
"11/9/2005",5.3,4.58,0.3,0.6
"11/10/2005",5.6,4.58,3.5,0.6
"11/11/2005",5.4,4.31,3.9,0.6
"11/12/2005",3.6,7.35,0.2,0.5
"11/13/2005",4.1,4.29,0.2,0.5
"11/14/2005",8.1,2.45,0.4,0.7
"11/15/2005",2.3,3.12,0.5,0.4
"11/16/2005",0.5,3.32,0,0.3
"11/17/2005",-1.8,3.21,0,0.1
"11/18/2005",-1.6,3.32,0.6,0.2
"11/19/2005",-1.9,3.09,0,0.2
"11/20/2005",-4.6,2.87,0,0
"11/21/2005",-5.3,0.735,0,0
"11/22/2005",-6.6,0.975,0,0
"11/23/2005",-5.6,1.71,0.2,0
"11/24/2005",1.9,3.09,0.6,0.3
"11/25/2005",4.3,2.87,0,0.4
"11/26/2005",-0.1,2.76,0,0.2
"11/27/2005",-2.7,2.66,0,0.1
"11/28/2005",-2.8,2.26,0,0.1
"11/29/2005",-4.9,2.26,0,0
"11/30/2005",-0.4,2.84,18.8,0.2
"12/1/2005",2,8.1,0.9,0.3
"12/2/2005",4.6,4.07,2.5,0.4
"12/3/2005",5.1,4.33,0,0.4
"12/4/2005",7.3,3.23,0.6,0.5
"12/5/2005",3.4,3.35,0,0.4
"12/6/2005",0.5,3.96,0.5,0.2
"12/7/2005",4,5.3,7.8,0.4
"12/8/2005",8.7,5.95,2.9,0.6
"12/9/2005",8.8,4.31,1.3,0.6
"12/10/2005",9.5,7.2,9.6,0.6
"12/11/2005",3.7,5.5,0.7,0.4
"12/12/2005",4.5,7.75,0,0.4
"12/13/2005",7.8,7.75,3.2,0.5
"12/14/2005",3.4,6.85,2.6,0.4
"12/15/2005",3.2,10.2,8.4,0.4
"12/16/2005",4.2,7.05,1,0.4
"12/17/2005",6.1,7.6,0.3,0.4
"12/18/2005",6.4,5.15,0.3,0.5
"12/19/2005",9.9,6.15,4.6,0.6
"12/20/2005",13,7.9,2.2,0.7
"12/21/2005",5.9,6.85,1.2,0.5
"12/22/2005",3.1,6.3,4.9,0.3
"12/23/2005",4.3,7.2,7.7,0.4
"12/24/2005",0.7,9.45,5,0.3
"12/25/2005",-0.6,9.1,11.7,0.2
"12/26/2005",-2,9.45,0.8,0.1
"12/27/2005",-2.3,9.1,0.7,0.1
"12/28/2005",-1.1,8.9,0.4,0.2
"12/29/2005",4.2,12,1.7,0.4
"12/30/2005",8.3,10.3,0.8,0.5
"12/31/2005",8,11.2,20.3,0.6
"1/1/2006",1.9,20.631,6.8,0.3
"1/2/2006",6.7,22.613,12.4,0.5
"1/3/2006",8.5,28.868,6.9,0.6
"1/4/2006",5.3,28.559,2.1,0.4
"1/5/2006",6.4,24.513,1.1,0.5
"1/6/2006",6.7,20.707,20.3,0.5
"1/7/2006",0.1,23.134,8.1,0.2
"1/8/2006",-0.8,20.421,0.4,0.2
"1/9/2006",2,19.268,0.3,0.3
"1/10/2006",3.4,18.257,12.4,0.4
"1/11/2006",3.6,21.229,1.3,0.4
"1/12/2006",7.4,19.17,0.5,0.5
"1/13/2006",9,18.135,7.3,0.6
"1/14/2006",5.1,19.65,3.9,0.5
"1/15/2006",3.4,18.166,4.2,0.4
"1/16/2006",1.7,17.38,8.7,0.3
"1/17/2006",-1.7,18.734,1.3,0.2
"1/18/2006",-5.3,17.756,0,0
"1/19/2006",-6.1,11.779,0.1,0
"1/20/2006",-3.7,13.526,0.1,0.1
"1/21/2006",-3,11.045,0,0.1
"1/22/2006",-1.8,9.009,0,0.2
"1/23/2006",1.8,7.815,6.5,0.4
"1/24/2006",6.6,13.822,18.6,0.6
"1/25/2006",8.2,30.326,6.9,0.7
"1/26/2006",5.1,28.555,1.7,0.5
"1/27/2006",5.9,24.3,4.3,0.6
"1/28/2006",3.7,22.321,0.1,0.5
"1/29/2006",1.7,18.733,0,0.3
"1/30/2006",3.5,16.985,0.2,0.5
"1/31/2006",2.3,15.16,0.1,0.4
"2/1/2006",2.9,11.419,0,0.5
"2/2/2006",7.2,11.228,1.2,0.7
"2/3/2006",5.7,10.38,22.3,0.6
"2/4/2006",1.6,17.725,12.1,0.4
"2/5/2006",1.2,16.471,6.3,0.4
"2/6/2006",2.1,19.297,0.6,0.4
"2/7/2006",0.8,20.152,3.5,0.4
"2/8/2006",1.4,16.774,0.4,0.4
"2/9/2006",2.5,17.191,4.9,0.5
"2/10/2006",2.9,16.078,1.4,0.5
"2/11/2006",0.3,14.484,4.7,0.4
"2/12/2006",-1.3,13.094,0.2,0.2
"2/13/2006",-3,12.864,2.3,0.1
"2/14/2006",-0.3,11.475,0.5,0.3
"2/15/2006",2.5,14.304,0,0.5
"2/16/2006",-0.7,12.222,0,0.3
"2/17/2006",0.4,8.457,0,0.4
"2/18/2006",2.3,10.251,5.6,0.5
"2/19/2006",2.9,7.324,3.9,0.6
"2/20/2006",4.6,7.563,6.2,0.7
"2/21/2006",4.9,10.329,1.9,0.7
"2/22/2006",7.2,8.919,0,0.9
"2/23/2006",5.2,11.037,7.7,0.8
"2/24/2006",6,8.743,3.1,0.9
"2/25/2006",7.8,11.398,0.6,1
"2/26/2006",9.9,8.845,0,1.2
"2/27/2006",9.8,8.241,2.4,1.2
"2/28/2006",7.4,9.138,6.9,1
"3/1/2006",5.9,10.336,0.7,0.9
"3/2/2006",5.9,7.636,5.7,0.9
"3/3/2006",7.6,11.031,5.1,1.1
"3/4/2006",5.5,8.987,0,0.9
"3/5/2006",9.7,7.043,0.3,1.3
"3/6/2006",6.5,6.274,0.7,1
"3/7/2006",5,8.164,0,0.9
"3/8/2006",7.9,6.861,0,1.2
"3/9/2006",11.2,6.739,0,1.5
"3/10/2006",9.5,5.329,0,1.4
"3/11/2006",9.2,8.821,0.5,1.3
"3/12/2006",6.7,6.174,5.8,1.1
"3/13/2006",6.6,4.45,4.8,1.1
"3/14/2006",7.2,6.272,0.1,1.2
"3/15/2006",7.7,5.366,1.7,1.3
"3/16/2006",7.1,4.989,0.1,1.2
"3/17/2006",5.2,4.287,0,1
"3/18/2006",5.9,5.16,0,1.1
"3/19/2006",6.9,3.649,0.4,1.3
"3/20/2006",8.1,2.949,0.4,1.4
"3/21/2006",7.3,4.22,8.1,1.3
"3/22/2006",7.1,5.131,0,1.3
"3/23/2006",9.7,3.93,0,1.6
"3/24/2006",12.5,4.953,0,1.9
"3/25/2006",13,3.373,2.8,2
"3/26/2006",7.1,3.621,0.1,1.4
"3/27/2006",4.8,2.984,0,1.1
"3/28/2006",10.2,3.366,0,1.8
"3/29/2006",10.1,3.096,0.1,1.8
"3/30/2006",12.6,3.392,0.2,2.1
"3/31/2006",12.9,2.875,0.6,2.1
"4/1/2006",8.2,3.203,6.5,1.6
"4/2/2006",2,3.152,5.8,0.9
"4/3/2006",2,3.773,3.5,0.8
"4/4/2006",4.9,3.17,8.7,1.2
"4/5/2006",2.8,6.464,6.4,0.9
"4/6/2006",3.5,4.936,8,1.1
"4/7/2006",4.1,7.671,22.3,1.1
"4/8/2006",4.5,12.579,5.6,1.2
"4/9/2006",2.5,11.028,6,1
"4/10/2006",1.6,13.167,4.6,0.9
"4/11/2006",1.9,12.394,3,0.9
"4/12/2006",4.4,11.632,2.4,1.2
"4/13/2006",5.7,10.975,0.1,1.4
"4/14/2006",2.2,10.862,1.9,0.9
"4/15/2006",1.6,9.847,0.8,0.9
"4/16/2006",3.3,7.814,24.4,1.1
"4/17/2006",5.4,22.802,11.3,1.4
"4/18/2006",3.5,31.773,0,1.2
"4/19/2006",5.7,26.045,0,1.5
"4/20/2006",7.7,21.55,2.1,1.8
"4/21/2006",8.6,18.467,0.7,1.9
"4/22/2006",11.3,16.521,0,2.3
"4/23/2006",10.4,14.531,1.8,2.2
"4/24/2006",10.2,9.523,21.8,2.2
"4/25/2006",7.2,17.509,1.5,1.8
"4/26/2006",8.4,15.431,4.6,2
"4/27/2006",11.8,14.276,0.3,2.5
"4/28/2006",13.6,13.858,0,2.8
"4/29/2006",15.2,11.994,0,3
"4/30/2006",17.1,8.799,0,3.3
"5/1/2006",13.9,8.491,0,2.9
"5/2/2006",12.2,8.538,0,2.6
"5/3/2006",16.1,7.016,13.1,3.2
"5/4/2006",9.1,10.185,3.8,2.2
"5/5/2006",8.7,8.867,0.5,2.1
"5/6/2006",10.7,7.599,0,2.5
"5/7/2006",14.5,6.205,17.7,3
"5/8/2006",8.3,11.478,7,2.1
"5/9/2006",8.7,10.691,0.5,2.2
"5/10/2006",10.4,8.504,0,2.4
"5/11/2006",12,8.047,7.4,2.7
"5/12/2006",9.9,8.267,2,2.4
"5/13/2006",13.4,7.263,5.9,2.9
"5/14/2006",13.5,6.682,1.1,3
"5/15/2006",15.1,6.319,0,3.2
"5/16/2006",12.7,4.554,8.7,2.9
"5/17/2006",13,3.65,6.5,3
"5/18/2006",10.3,4.035,6,2.5
"5/19/2006",11.4,3.782,6.8,2.7
"5/20/2006",11.7,3.624,1.9,2.8
"5/21/2006",13.8,3.349,3.2,3.1
"5/22/2006",14.7,2.794,15.4,3.3
"5/23/2006",14.3,6.535,0.7,3.2
"5/24/2006",13,6.337,8.7,3
"5/25/2006",13.2,8.068,7.4,3.1
"5/26/2006",12.3,8.275,3.8,2.9
"5/27/2006",11.7,8.358,0,2.8
"5/28/2006",14,6.4,0.2,3.2
"5/29/2006",13.8,6.789,0.1,3.2
"5/30/2006",12.5,5.815,0.4,3
"5/31/2006",17.2,5.842,0,3.8
"6/1/2006",21.8,4.553,0,4.6
"6/2/2006",15.4,5.191,8.3,3.5
"6/3/2006",12.2,5.604,5.6,3
"6/4/2006",10.5,4.96,2.3,2.7
"6/5/2006",9.9,4.754,0,2.6
"6/6/2006",13,3.911,0.2,3.1
"6/7/2006",16.7,4.043,0,3.8
"6/8/2006",17.2,3.532,19.2,3.9
"6/9/2006",10.3,6.007,0.3,2.7
"6/10/2006",10,4.128,0.9,2.6
"6/11/2006",7.6,3.575,3.2,2.2
"6/12/2006",11.6,3.804,0,2.9
"6/13/2006",15.1,3.385,0,3.5
"6/14/2006",16.2,3.078,0,3.7
"6/15/2006",16.8,3.039,0,3.8
"6/16/2006",17,2.672,0,3.8
"6/17/2006",17.9,2.194,0,4
"6/18/2006",19.2,2.218,11.2,4.2
"6/19/2006",16.8,3.448,3.9,3.8
"6/20/2006",15.3,2.812,0.1,3.5
"6/21/2006",17.4,2.457,0,3.9
"6/22/2006",17.9,2.151,0,4
"6/23/2006",19.1,1.899,0,4.2
"6/24/2006",23.2,1.632,2.1,4.9
"6/25/2006",18.1,1.576,19,4
"6/26/2006",15.6,3.778,17.4,3.6
"6/27/2006",16,6.401,1.6,3.7
"6/28/2006",20.1,3.629,0,4.4
"6/29/2006",22.3,2.705,0,4.8
"6/30/2006",21.4,2.334,0,4.6
"7/1/2006",23.8,2.221,10.8,5
"7/2/2006",21.3,2.664,0,4.6
"7/3/2006",24.5,2.219,0,5.1
"7/4/2006",22,1.883,11.3,4.7
"7/5/2006",18.6,3.297,0,4.1
"7/6/2006",16.6,1.926,0,3.7
"7/7/2006",14.7,1.593,0,3.4
"7/8/2006",15.9,1.451,0.1,3.6
"7/9/2006",14.9,1.405,0,3.4
"7/10/2006",17.3,1.147,0,3.8
"7/11/2006",21.3,1.146,0,4.5
"7/12/2006",23.6,1.262,0,4.8
"7/13/2006",23.4,1.165,0,4.8
"7/14/2006",22.5,0.988,0,4.7
"7/15/2006",21.8,1.073,0,4.6
"7/16/2006",22.9,0.991,0,4.7
"7/17/2006",24.2,0.888,13.4,4.9
"7/18/2006",18.2,1.42,9.3,3.9
"7/19/2006",17.3,1.643,3.6,3.8
"7/20/2006",17.1,1.568,0.1,3.7
"7/21/2006",19.5,1.311,0,4.1
"7/22/2006",20.9,1.215,0,4.3
"7/23/2006",21.8,0.978,0.3,4.4
"7/24/2006",21.9,0.869,1.5,4.4
"7/25/2006",19.5,0.837,11.9,4
"7/26/2006",21.8,1.788,0,4.4
"7/27/2006",24.2,1.188,0,4.8
"7/28/2006",22.8,0.771,0.5,4.5
"7/29/2006",20.3,0.885,2.8,4.1
"7/30/2006",22.2,0.735,9.7,4.4
"7/31/2006",19.5,1.553,3.4,3.9
"8/1/2006",18.3,2.942,0,3.7
"8/2/2006",20,1.561,0,4
"8/3/2006",23.1,1.234,0,4.4
"8/4/2006",24.4,0.947,0,4.6
"8/5/2006",23.8,0.9,0,4.5
"8/6/2006",23.7,0.937,12.9,4.5
"8/7/2006",22.3,4.76,0.3,4.2
"8/8/2006",22,1.973,0.1,4.2
"8/9/2006",22.7,1.43,15,4.2
"8/10/2006",18.1,3.247,6.1,3.5
"8/11/2006",16.7,2.803,6.1,3.3
"8/12/2006",16.6,2.133,0,3.2
"8/13/2006",14.8,1.697,7.9,3
"8/14/2006",14.9,2.103,0,3
"8/15/2006",15.3,1.643,0,3
"8/16/2006",19.5,1.325,0,3.6
"8/17/2006",17.4,1.204,0.7,3.3
"8/18/2006",15.5,1.145,2,3
"8/19/2006",18,1.176,0,3.3
"8/20/2006",19.6,0.983,0,3.5
"8/21/2006",21,0.782,6.6,3.7
"8/22/2006",21.1,1.216,0.3,3.7
"8/23/2006",19.9,0.98,0.7,3.5
"8/24/2006",15.6,0.627,0.2,2.9
"8/25/2006",14.3,0.76,8.1,2.7
"8/26/2006",16.3,1.143,0.7,2.9
"8/27/2006",18.8,1.154,0,3.2
"8/28/2006",17.5,0.831,0,3
"8/29/2006",16.5,0.681,0,2.9
"8/30/2006",17.5,0.627,2.6,3
"8/31/2006",18.6,0.582,7.8,3.1
"9/1/2006",15.7,0.876,1.8,2.7
"9/2/2006",12.5,0.909,1.8,2.3
"9/3/2006",12.4,0.896,0,2.3
"9/4/2006",14.3,0.771,0,2.5
